date,nav,daily_ret
2023-07-17,0.7987,-0.07506568247216405
2023-07-18,0.8001,0.17528483786153348
2023-07-19,0.7946,-0.6874140732408551
2023-07-20,0.7821,-1.5731185502139367
2023-07-21,0.7753,-0.8694540340109969
2023-07-24,0.7824,0.9157745388881811
2023-07-25,0.7839,0.19171779141105016
2023-07-26,0.7789,-0.6378364587319774
2023-07-27,0.7691,-1.2581846193349677
2023-07-28,0.7622,-0.8971525159277127
2023-07-31,0.7588,-0.4460771451062606
2023-08-01,0.7597,0.11860832894043938
2023-08-02,0.7571,-0.3422403580360722
2023-08-03,0.7584,0.17170783251880817
2023-08-04,0.7624,0.527426160337563
2023-08-07,0.7612,-0.15739769150052707
2023-08-08,0.7573,-0.5123489227535472
2023-08-09,0.7503,-0.9243364584708869
2023-08-10,0.7501,-0.026656004264957733
2023-08-11,0.7414,-1.1598453539528153
2023-08-14,0.7396,-0.24278392230913104
2023-08-15,0.7305,-1.2303948080043314
2023-08-16,0.7197,-1.4784394250513366
2023-08-17,0.7378,2.5149367792135724
2023-08-18,0.7265,-1.5315803740851175
2023-08-21,0.7172,-1.2801101169993223
2023-08-22,0.7285,1.5755716675962095
2023-08-23,0.7088,-2.704186684969123
2023-08-24,0.7137,0.691309255079009
2023-08-25,0.6919,-3.0545046938489584
2023-08-28,0.6894,-0.3613238907356431
2023-08-29,0.7206,4.525674499564847
2023-08-30,0.7483,3.844018873161237
2023-08-31,0.7416,-0.8953628223974275
2023-09-01,0.7389,-0.364077669902918
2023-09-04,0.7501,1.5157666802003034
2023-09-05,0.7536,0.46660445273964957
2023-09-06,0.776,2.972399150743099
2023-09-07,0.7618,-1.8298969072164883
2023-09-08,0.8033,5.447624048306632
2023-09-11,0.7855,-2.2158595792356572
2023-09-12,0.7799,-0.712921705919789
2023-09-13,0.7666,-1.7053468393383842
2023-09-14,0.7624,-0.5478737281502721
2023-09-15,0.7551,-0.9575026232948591
2023-09-18,0.7485,-0.8740564163686848
2023-09-19,0.7335,-2.004008016032066
2023-09-20,0.7259,-1.0361281526925725
2023-09-21,0.7269,0.13776002204159976
2023-09-22,0.7395,1.733388361535293
2023-09-25,0.7355,-0.5409060175794456
2023-09-26,0.7278,-1.0469068660775016
2023-09-27,0.7284,0.08244023083265883
2023-09-28,0.7454,2.3338824821526494
2023-10-09,0.7586,1.7708612825328762
2023-10-10,0.7609,0.3031900870023696
2023-10-11,0.7759,1.9713497174398853
2023-10-12,0.7664,-1.2243845856424906
2023-10-13,0.7756,1.2004175365344372
2023-10-16,0.7665,-1.1732851985559511
2023-10-17,0.7858,2.5179386823222627
2023-10-18,0.7728,-1.6543649783659964
2023-10-19,0.7768,0.5175983436852993
2023-10-20,0.7473,-3.797631307929983
2023-10-23,0.7632,2.1276595744680993
2023-10-24,0.7666,0.4454926624737787
2023-10-25,0.7776,1.4349073832507164
2023-10-26,0.7973,2.53343621399178
2023-10-27,0.7919,-0.6772858397090076
2023-10-30,0.8192,3.4474049753756786
2023-10-31,0.8086,-1.293945312500011
2023-11-01,0.8093,0.08656937917388419
2023-11-02,0.7748,-4.262943284319776
2023-11-03,0.7982,3.0201342281879207
2023-11-06,0.8133,1.891756452017046
2023-11-07,0.8222,1.0943071437353957
2023-11-08,0.8203,-0.23108732668450926
2023-11-09,0.8082,-1.4750700963062302
2023-11-10,0.8194,1.385795595149708
2023-11-13,0.8461,3.258481815962888
2023-11-14,0.8498,0.43730055548989455
2023-11-15,0.8511,0.15297717109907794
2023-11-16,0.8405,-1.2454470684995833
2023-11-17,0.8417,0.14277215942890553
2023-11-20,0.8573,1.8533919448734615
2023-11-21,0.8369,-2.3795637466464403
2023-11-22,0.8208,-1.9237662803202271
2023-11-23,0.8276,0.8284600389863561
2023-11-24,0.8082,-2.344127597873369
2023-11-27,0.8117,0.4330611234842685
2023-11-28,0.8151,0.4188739682148723
2023-11-29,0.8122,-0.3557845663108794
2023-11-30,0.8043,-0.9726668308298492
2023-12-01,0.8095,0.6465249285092511
2023-12-04,0.8089,-0.07411982705374243
2023-12-05,0.7826,-3.2513289652614685
2023-12-06,0.7799,-0.345003833375912
2023-12-07,0.7804,0.06411078343375731
2023-12-08,0.7825,0.269092772936963
2023-12-11,0.7947,1.559105431309904
2023-12-12,0.7963,0.20133383666793847
2023-12-13,0.7938,-0.3139520281301045
2023-12-14,0.7837,-1.2723607961703243
2023-12-15,0.7756,-1.0335587597294915
2023-12-18,0.7582,-2.243424445590503
2023-12-19,0.7557,-0.32972830387759666
2023-12-20,0.7386,-2.2628026994839234
2023-12-21,0.7439,0.7175737882480382
2023-12-22,0.7452,0.17475467132679334
2023-12-25,0.7505,0.7112184648416564
2023-12-26,0.7348,-2.091938707528307
2023-12-27,0.7407,0.8029395753946567
2023-12-28,0.7522,1.5525853921965593
2023-12-29,0.7693,2.2733315607551097
2023-12-31,0.7693,0.0
2024-01-02,0.7644,-0.6369426751592355
2024-01-03,0.7476,-2.19780219780219
